configuracion,tablero_indice,repeticion,estado_inicial,estado_final,h_inicial,h_final,evaluaciones,resuelto,truncada,longitud_solucion,longitud_optima
temple_actividad_sin_tope,8,5,2-8-7-6-3-1-5-0-4,1-2-3-4-5-6-7-8-0,19,0,7594,True,False,6143.0,25
temple_actividad_sin_tope,9,5,3-2-1-7-5-4-8-6-0,1-2-3-4-6-5-0-8-7,10,4,17401,False,False,,22
temple_actividad_sin_tope,10,5,3-5-4-6-2-7-8-0-1,1-2-3-4-5-6-7-8-0,17,0,3802,True,False,3453.0,27
temple_actividad_sin_tope,11,5,3-6-2-5-0-4-1-7-8,1-2-3-4-5-6-7-8-0,12,0,6162,True,False,5190.0,16
temple_actividad_sin_tope,12,5,4-1-5-2-6-3-0-7-8,1-2-3-7-4-6-5-8-0,10,4,17401,False,False,,18
temple_actividad_sin_tope,13,5,4-1-8-3-5-7-2-6-0,1-2-3-4-5-6-7-8-0,16,0,7300,True,False,5970.0,24
temple_actividad_sin_tope,14,5,4-3-2-1-0-6-7-5-8,1-2-3-4-5-6-7-8-0,6,0,6410,True,False,5472.0,18
temple_actividad_sin_tope,15,5,4-3-7-6-2-5-0-1-8,1-2-3-4-5-6-7-8-0,14,0,9309,True,False,6898.0,26
temple_actividad_sin_tope,16,5,4-5-0-1-2-7-8-3-6,1-2-3-4-5-6-7-8-0,12,0,5137,True,False,4512.0,22
temple_actividad_sin_tope,17,5,5-1-2-6-4-7-3-0-8,1-2-3-4-5-6-7-8-0,15,0,6458,True,False,5477.0,23
temple_actividad_sin_tope,18,5,5-1-7-8-6-3-2-4-0,1-2-3-0-5-6-7-8-4,16,3,17401,False,False,,24
temple_actividad_sin_tope,19,5,6-0-1-8-4-7-3-2-5,1-2-3-4-5-6-7-8-0,19,0,5531,True,False,4847.0,27
temple_actividad_sin_tope,20,5,6-3-7-5-1-4-8-2-0,1-5-3-2-4-6-7-8-0,16,4,17401,False,False,,24
temple_actividad_sin_tope,21,5,6-8-2-3-1-5-4-0-7,1-2-3-4-5-6-7-8-0,15,0,5963,True,False,5179.0,21
temple_actividad_sin_tope,22,5,7-0-8-6-3-2-1-4-5,1-2-3-4-5-6-0-7-8,17,2,17401,False,False,,23
temple_actividad_sin_tope,23,5,7-1-8-2-0-3-5-4-6,1-2-3-4-5-6-7-8-0,14,0,5123,True,False,4512.0,22
temple_actividad_sin_tope,24,5,7-3-2-1-0-6-8-5-4,1-2-3-4-5-6-7-8-0,10,0,4555,True,False,4056.0,22
temple_actividad_sin_tope,25,5,7-8-3-4-1-2-0-5-6,1-2-3-4-5-6-7-8-0,10,0,5898,True,False,5130.0,22
temple_actividad_sin_tope,26,5,8-1-2-3-6-0-7-5-4,1-2-3-4-5-6-7-8-0,13,0,10520,True,False,7241.0,23
temple_actividad_sin_tope,27,5,8-1-7-3-0-2-6-5-4,1-2-3-4-5-6-7-8-0,20,0,4366,True,False,3896.0,22
temple_actividad_sin_tope,28,5,8-4-1-3-5-7-0-2-6,1-2-3-4-5-6-7-8-0,16,0,8720,True,False,6676.0,26
temple_actividad_sin_tope,29,5,8-6-4-5-0-3-7-1-2,1-2-6-4-0-3-7-8-5,16,4,17401,False,False,,26
temple_actividad_sin_tope,0,6,0-1-6-3-4-7-8-2-5,1-2-3-4-5-6-7-8-0,14,0,5305,True,False,4676.0,22
temple_actividad_sin_tope,1,6,0-6-7-8-4-3-1-2-5,1-2-3-4-5-6-7-8-0,16,0,5851,True,False,5020.0,28
temple_actividad_sin_tope,2,6,1-0-3-2-7-4-8-5-6,1-2-3-4-5-6-7-8-0,9,0,8461,True,False,6649.0,21
temple_actividad_sin_tope,3,6,1-6-8-3-5-0-4-7-2,1-2-3-4-5-6-7-8-0,13,0,8227,True,False,6541.0,17
temple_actividad_sin_tope,4,6,1-7-4-8-2-3-0-6-5,1-2-3-4-5-6-7-8-0,14,0,9442,True,False,6922.0,20
temple_actividad_sin_tope,5,6,2-3-1-7-4-5-8-6-0,1-2-3-4-5-6-7-0-8,10,1,17401,False,False,,16
temple_actividad_sin_tope,6,6,2-7-1-6-4-8-0-3-5,1-2-3-4-5-6-7-8-0,16,0,5340,True,False,4658.0,26
temple_actividad_sin_tope,7,6,2-8-4-6-1-3-0-5-7,1-2-3-4-5-6-7-8-0,14,0,8395,True,False,6508.0,22
temple_actividad_sin_tope,8,6,2-8-7-6-3-1-5-0-4,1-2-3-4-5-6-7-8-0,19,0,8400,True,False,6545.0,25
temple_actividad_sin_tope,9,6,3-2-1-7-5-4-8-6-0,1-0-3-4-5-6-7-8-2,10,3,17401,False,False,,22
temple_actividad_sin_tope,10,6,3-5-4-6-2-7-8-0-1,1-2-3-4-5-6-7-8-0,17,0,6360,True,False,5419.0,27
temple_actividad_sin_tope,11,6,3-6-2-5-0-4-1-7-8,1-2-3-4-5-6-7-8-0,12,0,6903,True,False,5766.0,16
temple_actividad_sin_tope,12,6,4-1-5-2-6-3-0-7-8,1-2-3-4-5-6-7-8-0,10,0,7710,True,False,6186.0,18
